ticker,date,open,high,low,close,return
ADA,12/30/17,0.4955,0.6941,0.42,0.59,
ADA,12/31/17,0.59,0.74,0.59,0.71,20.33898305
ADA,1/1/18,0.71,0.715,0.632,0.7022,-1.098591549
ADA,1/2/18,0.7022,0.8,0.675,0.762,8.516092281
ADA,1/3/18,0.762,1.1,0.7601,1.1,44.35695538
ADA,1/4/18,1.11,1.38,1.04,1.13,2.727272727
ADA,1/5/18,1.15,1.3,0.9,1.01,-10.61946903
ADA,1/6/18,1.01,1.08,0.908,1.04,2.97029703
ADA,1/7/18,1.03,1.05,0.979,1.01,-2.884615385
ADA,1/8/18,1.01,1.02,0.7359,0.9,-10.89108911
ADA,1/9/18,0.9,0.954,0.772,0.81,-10
ADA,1/10/18,0.81,0.8293,0.6559,0.7765,-4.135802469
ADA,1/11/18,0.78,0.783,0.51,0.68,-12.42755956
ADA,1/12/18,0.679,0.93,0.631,0.895,31.61764706
ADA,1/13/18,0.8983,0.959,0.8329,0.879,-1.787709497
ADA,1/14/18,0.879,0.89,0.72,0.8,-8.987485779
ADA,1/15/18,0.8,0.8666,0.75,0.77,-3.75
ADA,1/16/18,0.7724,0.7952,0.45,0.61,-20.77922078
ADA,1/17/18,0.6,0.6839,0.434,0.6242,2.327868852
ADA,1/18/18,0.625,0.6996,0.6,0.65,4.133290612
ADA,1/19/18,0.65,0.6964,0.589,0.6441,-0.907692308
ADA,1/20/18,0.6479,0.7263,0.64,0.7048,9.424002484
ADA,1/21/18,0.7049,0.7049,0.5765,0.61,-13.45062429
ADA,1/22/18,0.6165,0.64,0.51,0.5675,-6.967213115
ADA,1/23/18,0.5699,0.59,0.5166,0.5601,-1.303964758
ADA,1/24/18,0.5619,0.65,0.537,0.628,12.12283521
ADA,1/25/18,0.63,0.685,0.6185,0.635,1.114649682
ADA,1/26/18,0.635,0.655,0.5611,0.611,-3.779527559
ADA,1/27/18,0.611,0.642,0.595,0.6256,2.389525368
ADA,1/28/18,0.6256,0.67,0.6131,0.6456,3.196930946
ADA,1/29/18,0.6456,0.6466,0.5881,0.5904,-8.550185874
ADA,1/30/18,0.5904,0.603,0.5,0.525,-11.07723577
ADA,1/31/18,0.525,0.525,0.463,0.503,-4.19047619
ADA,2/1/18,0.503,0.5217,0.389,0.4119,-18.11133201
ADA,2/2/18,0.4119,0.4217,0.2958,0.3896,-5.413935421
ADA,2/3/18,0.3896,0.514,0.3453,0.457,17.29979466
ADA,2/4/18,0.457,0.4838,0.364,0.4,-12.4726477
ADA,2/5/18,0.4,0.4038,0.2929,0.312,-22
ADA,2/6/18,0.3118,0.36,0.2615,0.34,8.974358974
ADA,2/7/18,0.34,0.38,0.3218,0.345,1.470588235
ADA,2/8/18,0.345,0.361,0.3235,0.344,-0.289855072
ADA,2/9/18,0.344,0.386,0.32,0.375,9.011627907
ADA,2/10/18,0.375,0.438,0.3583,0.3865,3.066666667
ADA,2/11/18,0.3865,0.3865,0.3418,0.362,-6.338939198
ADA,2/12/18,0.362,0.3799,0.348,0.37,2.209944751
ADA,2/13/18,0.37,0.3779,0.342,0.355,-4.054054054
ADA,2/14/18,0.355,0.388,0.3521,0.387,9.014084507
ADA,2/15/18,0.387,0.404,0.37,0.393,1.550387597
ADA,2/16/18,0.393,0.395,0.3704,0.3921,-0.229007634
ADA,2/17/18,0.3921,0.4185,0.3855,0.41,4.565161948
ADA,2/18/18,0.41,0.4116,0.36,0.3686,-10.09756098
ADA,2/19/18,0.3686,0.3865,0.36,0.374,1.465002713
ADA,2/20/18,0.374,0.3869,0.35,0.35,-6.417112299
ADA,2/21/18,0.35,0.355,0.325,0.333,-4.857142857
